"tube_id","donor_site_id","recipient_site_id","treatment_id","replicate","greenhouse_tray","greenhouse_rack","greenhouse_position","transplant_date","n_seeds_planted","n_seeds_germinated","germinated","first_germination_date","thinning_date","survived_to_harvest","harvest_date","final_dry_biomass_g","health_score","protocol_deviation","notes"
"T0034","VA_D01","VA_R01","VA_D01__VA_R01",34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0035","VA_D01","VA_R01","VA_D01__VA_R01",35,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0036","VA_D01","NH_R01","VA_D01__NH_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0037","VA_D01","NH_R01","VA_D01__NH_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0038","VA_D01","NH_R01","VA_D01__NH_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0039","VA_D01","NH_R01","VA_D01__NH_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0040","VA_D01","NH_R01","VA_D01__NH_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0041","VA_D01","NH_R01","VA_D01__NH_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0042","VA_D01","NH_R01","VA_D01__NH_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0043","VA_D01","NH_R01","VA_D01__NH_R01",8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0044","VA_D01","NH_R01","VA_D01__NH_R01",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0045","VA_D01","NH_R01","VA_D01__NH_R01",10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0046","VA_D01","NH_R01","VA_D01__NH_R01",11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0047","VA_D01","NH_R01","VA_D01__NH_R01",12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0048","VA_D01","NH_R01","VA_D01__NH_R01",13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0049","VA_D01","NH_R01","VA_D01__NH_R01",14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0050","VA_D01","NH_R01","VA_D01__NH_R01",15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0051","VA_D01","NH_R01","VA_D01__NH_R01",16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0052","VA_D01","NH_R01","VA_D01__NH_R01",17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0053","VA_D01","NH_R01","VA_D01__NH_R01",18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0054","VA_D01","NH_R01","VA_D01__NH_R01",19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0055","VA_D01","NH_R01","VA_D01__NH_R01",20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0056","VA_D01","NH_R01","VA_D01__NH_R01",21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0057","VA_D01","NH_R01","VA_D01__NH_R01",22,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0058","VA_D01","NH_R01","VA_D01__NH_R01",23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0059","VA_D01","NH_R01","VA_D01__NH_R01",24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0060","VA_D01","NH_R01","VA_D01__NH_R01",25,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0061","VA_D01","NH_R01","VA_D01__NH_R01",26,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0062","VA_D01","NH_R01","VA_D01__NH_R01",27,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0063","VA_D01","NH_R01","VA_D01__NH_R01",28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0064","VA_D01","NH_R01","VA_D01__NH_R01",29,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0065","VA_D01","NH_R01","VA_D01__NH_R01",30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0066","VA_D01","NH_R01","VA_D01__NH_R01",31,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0067","VA_D01","NH_R01","VA_D01__NH_R01",32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0068","VA_D01","NH_R01","VA_D01__NH_R01",33,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0069","VA_D01","NH_R01","VA_D01__NH_R01",34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0070","VA_D01","NH_R01","VA_D01__NH_R01",35,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0071","VA_D02","VA_R01","VA_D02__VA_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0072","VA_D02","VA_R01","VA_D02__VA_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0073","VA_D02","VA_R01","VA_D02__VA_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0074","VA_D02","VA_R01","VA_D02__VA_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0075","VA_D02","VA_R01","VA_D02__VA_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0076","VA_D02","VA_R01","VA_D02__VA_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0077","VA_D02","VA_R01","VA_D02__VA_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0078","VA_D02","VA_R01","VA_D02__VA_R01",8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0079","VA_D02","VA_R01","VA_D02__VA_R01",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0080","VA_D02","VA_R01","VA_D02__VA_R01",10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0081","VA_D02","VA_R01","VA_D02__VA_R01",11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0082","VA_D02","VA_R01","VA_D02__VA_R01",12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0083","VA_D02","VA_R01","VA_D02__VA_R01",13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0084","VA_D02","VA_R01","VA_D02__VA_R01",14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0085","VA_D02","VA_R01","VA_D02__VA_R01",15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0086","VA_D02","VA_R01","VA_D02__VA_R01",16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0087","VA_D02","VA_R01","VA_D02__VA_R01",17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0088","VA_D02","VA_R01","VA_D02__VA_R01",18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0089","VA_D02","VA_R01","VA_D02__VA_R01",19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0090","VA_D02","VA_R01","VA_D02__VA_R01",20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0091","VA_D02","VA_R01","VA_D02__VA_R01",21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0092","VA_D02","VA_R01","VA_D02__VA_R01",22,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0093","VA_D02","VA_R01","VA_D02__VA_R01",23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0094","VA_D02","VA_R01","VA_D02__VA_R01",24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0095","VA_D02","VA_R01","VA_D02__VA_R01",25,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0096","VA_D02","VA_R01","VA_D02__VA_R01",26,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0097","VA_D02","VA_R01","VA_D02__VA_R01",27,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0098","VA_D02","VA_R01","VA_D02__VA_R01",28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0099","VA_D02","VA_R01","VA_D02__VA_R01",29,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0100","VA_D02","VA_R01","VA_D02__VA_R01",30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0101","VA_D02","VA_R01","VA_D02__VA_R01",31,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0102","VA_D02","VA_R01","VA_D02__VA_R01",32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0103","VA_D02","VA_R01","VA_D02__VA_R01",33,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0104","VA_D02","VA_R01","VA_D02__VA_R01",34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0105","VA_D02","VA_R01","VA_D02__VA_R01",35,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0106","VA_D02","NH_R01","VA_D02__NH_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0107","VA_D02","NH_R01","VA_D02__NH_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0108","VA_D02","NH_R01","VA_D02__NH_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0109","VA_D02","NH_R01","VA_D02__NH_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0110","VA_D02","NH_R01","VA_D02__NH_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0111","VA_D02","NH_R01","VA_D02__NH_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0112","VA_D02","NH_R01","VA_D02__NH_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0113","VA_D02","NH_R01","VA_D02__NH_R01",8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0114","VA_D02","NH_R01","VA_D02__NH_R01",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0115","VA_D02","NH_R01","VA_D02__NH_R01",10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0116","VA_D02","NH_R01","VA_D02__NH_R01",11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0117","VA_D02","NH_R01","VA_D02__NH_R01",12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0118","VA_D02","NH_R01","VA_D02__NH_R01",13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0119","VA_D02","NH_R01","VA_D02__NH_R01",14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0120","VA_D02","NH_R01","VA_D02__NH_R01",15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0121","VA_D02","NH_R01","VA_D02__NH_R01",16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0122","VA_D02","NH_R01","VA_D02__NH_R01",17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0123","VA_D02","NH_R01","VA_D02__NH_R01",18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0124","VA_D02","NH_R01","VA_D02__NH_R01",19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0125","VA_D02","NH_R01","VA_D02__NH_R01",20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0126","VA_D02","NH_R01","VA_D02__NH_R01",21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0127","VA_D02","NH_R01","VA_D02__NH_R01",22,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0128","VA_D02","NH_R01","VA_D02__NH_R01",23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0129","VA_D02","NH_R01","VA_D02__NH_R01",24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0130","VA_D02","NH_R01","VA_D02__NH_R01",25,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0131","VA_D02","NH_R01","VA_D02__NH_R01",26,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0132","VA_D02","NH_R01","VA_D02__NH_R01",27,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0133","VA_D02","NH_R01","VA_D02__NH_R01",28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0134","VA_D02","NH_R01","VA_D02__NH_R01",29,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0135","VA_D02","NH_R01","VA_D02__NH_R01",30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0136","VA_D02","NH_R01","VA_D02__NH_R01",31,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0137","VA_D02","NH_R01","VA_D02__NH_R01",32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0138","VA_D02","NH_R01","VA_D02__NH_R01",33,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0139","VA_D02","NH_R01","VA_D02__NH_R01",34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0140","VA_D02","NH_R01","VA_D02__NH_R01",35,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0141","VA_D03","VA_R01","VA_D03__VA_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0142","VA_D03","VA_R01","VA_D03__VA_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0143","VA_D03","VA_R01","VA_D03__VA_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0144","VA_D03","VA_R01","VA_D03__VA_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0145","VA_D03","VA_R01","VA_D03__VA_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0146","VA_D03","VA_R01","VA_D03__VA_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0147","VA_D03","VA_R01","VA_D03__VA_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0148","VA_D03","VA_R01","VA_D03__VA_R01",8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0149","VA_D03","VA_R01","VA_D03__VA_R01",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0150","VA_D03","VA_R01","VA_D03__VA_R01",10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0151","VA_D03","VA_R01","VA_D03__VA_R01",11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0152","VA_D03","VA_R01","VA_D03__VA_R01",12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0153","VA_D03","VA_R01","VA_D03__VA_R01",13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0154","VA_D03","VA_R01","VA_D03__VA_R01",14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0155","VA_D03","VA_R01","VA_D03__VA_R01",15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0156","VA_D03","VA_R01","VA_D03__VA_R01",16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0157","VA_D03","VA_R01","VA_D03__VA_R01",17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0158","VA_D03","VA_R01","VA_D03__VA_R01",18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0159","VA_D03","VA_R01","VA_D03__VA_R01",19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0160","VA_D03","VA_R01","VA_D03__VA_R01",20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0161","VA_D03","VA_R01","VA_D03__VA_R01",21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0162","VA_D03","VA_R01","VA_D03__VA_R01",22,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0163","VA_D03","VA_R01","VA_D03__VA_R01",23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0164","VA_D03","VA_R01","VA_D03__VA_R01",24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0165","VA_D03","VA_R01","VA_D03__VA_R01",25,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0166","VA_D03","VA_R01","VA_D03__VA_R01",26,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0167","VA_D03","VA_R01","VA_D03__VA_R01",27,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0168","VA_D03","VA_R01","VA_D03__VA_R01",28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0169","VA_D03","VA_R01","VA_D03__VA_R01",29,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0170","VA_D03","VA_R01","VA_D03__VA_R01",30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0171","VA_D03","VA_R01","VA_D03__VA_R01",31,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0172","VA_D03","VA_R01","VA_D03__VA_R01",32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0173","VA_D03","VA_R01","VA_D03__VA_R01",33,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0174","VA_D03","VA_R01","VA_D03__VA_R01",34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0175","VA_D03","VA_R01","VA_D03__VA_R01",35,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0176","VA_D03","NH_R01","VA_D03__NH_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0177","VA_D03","NH_R01","VA_D03__NH_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0178","VA_D03","NH_R01","VA_D03__NH_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0179","VA_D03","NH_R01","VA_D03__NH_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0180","VA_D03","NH_R01","VA_D03__NH_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0181","VA_D03","NH_R01","VA_D03__NH_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0182","VA_D03","NH_R01","VA_D03__NH_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
